url,font_size,bg_color,fg_color,element_text,html_tag_type,link_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://blackbaud.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ww3.monitorbase.com/,14.4px,"rgba(0, 0, 0, 0)","rgba(147, 147, 147, 1)",Do Not Sell My Personal Information,a,https://ww3.monitorbase.com/california-privacy-notice-ccpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lead411.com,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell,a,https://www.lead411.com/removeinforequest/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://gravyanalytics.com/,13.3333px,"rgba(0, 0, 0, 0)","rgba(25, 42, 93, 1)", Opt-Out & Do Not Sell,a,https://gravyanalytics.com/opt-out-do-not-sell/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.cision.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.clearview.ai,16px,"rgba(0, 0, 0, 0)","rgba(0, 0, 0, 1)",,script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.clearview.ai,12px,"rgba(0, 0, 0, 0)","rgba(74, 74, 74, 1)",Californians: Do Not Sell My Personal Information ,span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hireez.com,15px,"rgba(0, 0, 0, 0)","rgba(0, 0, 0, 1)",,span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.hireez.com,12px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Personal Info,a,https://hireez.com/ccpa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://accucomcorp.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jdpower.com,15px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",CA Do Not Sell or Share My Information,a,https://www.jdpower.com/privacy/california#do-not-sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jdpower.com,13.008px,"rgba(0, 0, 0, 0)","rgba(0, 71, 186, 1)",Offline Do Not Sell or Share My Information,a,https://privacyportal.onetrust.com/webform/5e27ce89-3714-4976-8df7-1d1560e32aa1/d6419967-880f-480f-9935-960045988858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jdpower.com,13.008px,"rgba(255, 255, 255, 1)","rgba(0, 71, 186, 1)",Online Do Not Sell or Share My Information,button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jdpower.com,16px,"rgba(0, 0, 0, 0)","rgba(105, 105, 105, 1)",,h2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://jdpower.com,12.992px,"rgba(0, 0, 0, 0)","rgba(101, 101, 101, 1)",,a,https://privacyportal.onetrust.com/webform/5e27ce89-3714-4976-8df7-1d1560e32aa1/d6419967-880f-480f-9935-960045988858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.optimalfusion.com,14px,"rgba(0, 0, 0, 0)","rgba(105, 121, 157, 1)",Do not sell my Personal Information,a,https://optimalfusion.com/do-not-sell-my-personal-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.therecruitbot.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.throtle.io,11px,"rgba(0, 0, 0, 0)","rgba(0, 0, 0, 1)",DO NOT SELL MY PERSONAL INFORMATION,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.anchorcomputer.com/,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Please do not sell my personal information,span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.versium.com,15px,"rgba(0, 0, 0, 0)","rgba(243, 95, 95, 1)",,a,https://versium.com/ccpa-opt-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.versium.com,15px,"rgba(0, 0, 0, 0)","rgba(243, 95, 95, 1)",CCPA/CDPA Do not sell my personal information,a,https://versium.com/ccpa-opt-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.usdatacorporation.com,11px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",DO NOT SELL MY INFO,a,https://www.usdatacorporation.com/do-not-sell-my-info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.usdatacorporation.com,13px,"rgba(0, 0, 0, 0)","rgba(102, 102, 102, 1)",,script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sawyerlists.com,16px,"rgba(0, 0, 0, 0)","rgba(102, 102, 102, 1)",Do Not Sell My Personal Information,a,https://www.sawyerdatadirect.com/contact.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sawyerlists.com,16px,"rgba(0, 0, 0, 0)","rgba(85, 85, 85, 1)",For Do Not Sell My Personal Information or Limit the Use of My Sensitive Personal Information requests only call: 800-327-3595,span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://acxiom.com,14px,"rgba(0, 0, 0, 0)","rgba(51, 51, 51, 1)",DO NOT SELL MY PERSONAL INFORMATION,a,https://isapps.acxiom.com/optout/optout.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.seamless.ai/,16px,"rgba(0, 0, 0, 0)","rgba(72, 72, 74, 1)",,a,https://seamlesscontacts-privacy.my.onetrust.com/webform/7d8440a5-8747-45b5-a839-b7c5bcee53cc/29584dfb-bac6-412d-b5c5-e637d565c043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.seamless.ai/,14px,"rgba(0, 0, 0, 0)","rgba(72, 72, 74, 1)",Do Not Sell My Information,a,https://login.seamless.ai/personalDataRequest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.degree.me/,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.spglobal.com,13px,"rgba(0, 0, 0, 0)","rgba(130, 130, 130, 1)",Do Not Sell My Personal Information,a,https://more.spglobal.com/DoNotSell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.firstdirectmarketing.com,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Information,a,https://ccpa.firstdirectinc.com/?utm_source=first-direct&utm_medium=fdinc-footer-link&utm_campaign=referral&utm_content=ccpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.firstdirectmarketing.com,15px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",,a,https://ccpa.firstdirectinc.com/?utm_source=first-direct&utm_medium=fdinc-footer-link&utm_campaign=referral&utm_content=ccpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://hunter.io/,12px,"rgba(0, 0, 0, 0)","rgba(161, 167, 173, 1)",Do Not Sell My Info,a,https://hunter.io/claim?ref=donotsell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.integratedmedicaldata.com,12.7px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",DO NOT SELL MY PERSONAL INFORMATION,a,https://alerts.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sms-inc.com,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell Or Share My Personal Information,a,https://www.sms-inc.com/do-not-sell-my-personal-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://privacy.targetsmart.com/,16px,"rgba(0, 0, 0, 0)","rgba(0, 76, 158, 1)",Do Not Sell My Personal Information,a,https://privacy.targetsmart.com/ca/opt_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://privacy.targetsmart.com/,16px,"rgba(0, 0, 0, 0)","rgba(0, 76, 158, 1)",Do Not Sell My Personal Information,a,https://privacy.targetsmart.com/nv/opt_out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.comscore.com,14px,"rgba(0, 0, 0, 0)","rgba(42, 48, 62, 1)",Do Not Sell My Personal Information,a,https://www.comscore.com/About/Privacy/Data-Subject-Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.comscore.com,16px,"rgba(0, 0, 0, 0)","rgba(42, 48, 62, 1)",,a,https://www.comscore.com/About/Privacy/Data-Subject-Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.spokeo.com,14px,"rgba(0, 0, 0, 0)","rgba(117, 134, 147, 1)",Do Not Sell My Info,a,https://www.spokeo.com/privacy/control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.cortera.com,11px,"rgba(0, 0, 0, 0)","rgba(2, 0, 128, 1)",DO NOT SELL,a,https://pulse.moodysanalytics.com/ccpa-request/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sourceitmarketing.com/,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 0.38)",Do Not Sell My Personal Information,span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://listmatch.com,15px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do not Sell My Personal Information,a,https://www.listmatch.com/privacy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.safegraph.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.veraset.com,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://WWW.BELARDIWONG.COM,12px,"rgba(0, 0, 0, 0)","rgba(30, 152, 138, 1)",Do Not Sell My Personal Information,a,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/400f54ed-fcbb-4749-ab5b-32f491c72390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://WWW.ALC.COM,22.4px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Personal Information,a,https://privacyportal.onetrust.com/webform/3d2d5e0c-bd98-46b8-906c-ede68a6f6a80/9d9b9c86-0c27-4fec-8ca3-51b0c0fc6bae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://trufactor.io/,error,error,error,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.here.com,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",,a,https://legal.here.com/en-gb/privacy/do-not-sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.here.com,14px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Personal Information,a,https://legal.here.com/en-gb/privacy/do-not-sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://digdevdirect.com,12.6px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Personal Information,a,https://www.digdevdirect.com/do-not-sell-my-personal-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.nextroll.com/,10px,"rgba(0, 174, 239, 1)","rgba(255, 255, 255, 1)",DO NOT SELL OR SHARE MY PERSONAL INFORMATION,a,https://app.adroll.com/optout/email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pipl.com/,20px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell or Share My Information,a,https://pipl.com/resources/privacy-documents/california-privacy-notice-individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.monevo.us/,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.epsilon.com/us/privacy-policy,empty,empty,empty,empty,empty,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.accudata.com,12px,"rgba(0, 0, 0, 0)","rgba(255, 255, 255, 1)",Do Not Sell My Personal Information,a,http://optout.accudata.com/request/opt-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.merkleinc.com/,11px,"rgba(0, 0, 0, 0)","rgba(5, 5, 30, 1)",Do Not Sell or Share My Information,a,https://www.merkle.com/getting-know-your-privacy-rights/control-your-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
