Data Broker Name,Email Address,Website URL,Physical Address,How a consumer may opt out of sale or submit requests under the CCPA,How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1),Additional information about data collecting practices,Date Added
"Gravy Analytics, Inc.",privacy [at] gravyanalytics.com,https://gravyanalytics.com/,"45610 Woodland Rd., Suite 100, Sterling, VA 20166, United States","For any requests related to the CCPA, a protected individual may contact us by any of the following mechanisms:, , 1) Emailing us at privacy@gravyanalytics.com; or, 2) Calling the following toll-free number: 1-855-545-5623,  , In addition, a consumer may opt-out of the sale of their personal information by filling out Gravy's Opt-Out and Do not Sell form, available at: https://gravyanalytics.com/opt-out-form/. The form provides instructions for a consumer to identify their Mobile Advertiser Id (this is the ID Gravy Analytics utilizes in its provision of data services). Upon receipt of an opt-out request, Gravy Analytics will remove all data in our data sets related to such Mobile Advertiser Id.","A protected individual may submit a deletion request by:, , 1) Emailing us at privacy@gravyanalytics.com;, 2) Calling the following toll-free number: 1-855-545-5623; or, 3) Submitting the Opt-Out and Do not Sell form (available at, https://gravyanalytics.com/opt-out-form/)","Gravy Analytics takes privacy seriously. Gravy Analytics sources data from third party data providers. All of our third data providers are appropriately vetted, required to complete a privacy questionnaire, and contractually represent and warrant they have complied with all applicable laws as it relates to their collection, use, and transfer of consumer personal information. Please visit our Privacy Policy at http://docs.gravyanalytics.com/privacypolicy.html and our California Resident's Notice at http://docs.gravyanalytics.com/privacypolicy_ca.html to learn more about our privacy practices.",2/7/2020
Cision US Inc.,DPO [at] cision.com,http://www.cision.com,"300 South Riverside Plaza Building, 300 S Riverside Plaza, Chicago, IL 60606, United States","Consumers can do this by emailing Privacy@cision.com, calling toll-free on  877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en , ","Cision does not post such information online but any deletion requests can be submitted by emailing Privacy@cision.com, calling toll-free on 877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en","Cision collect consumer personal information either directly from the consumer, or from publicly available sources such as: , •	Articles or blogs the consumer may have written , •	Vlogs the consumer may have created , •	The consumer’s own website , •	The consumer’s employer's websites , •	The consumer’s publisher's website , •	The consumer’s publicly available social media profiles (including, for example, Facebook, Instagram, Twitter, and LinkedIn) , •	Telephone conversations which may be recorded by us to help us improve our training and quality , •	Other publicly available online sources , •	Other consumers (who may, for example, tell us if another consumer has changed jobs, but we will not publish that information until we have independently verified it) , •	Our customers , •	Third parties, such as Brandwatch, Talkwalker, IHS Markit and Capestart , •	The consumer’s employer (if they are employed) , •	The consumer’s press team tell us ,  , For further Information about how Cision processes your personal information and your rights regarding this, please see here https://gdpr.cision.com/additional-information-for-californian-consumers",2/7/2020
"Clearview AI, Inc.",privacy [at] clearview.ai,http://www.clearview.ai,"99 Wall Street #5730, New York, NY 10005, United States",Please see this link: https://privacyportal.onetrust.com/webform/1fdd17ee-bd10-4813-a254-de7d5c09360a/2a09e1a7-f09f-4e0c-91a2-5818abe414d5,"Please see this link: https://privacyportal.onetrust.com/webform/1fdd17ee-bd10-4813-a254-de7d5c09360a/2a09e1a7-f09f-4e0c-91a2-5818abe414d5 , Alternatively, you can email privacy@clearview.ai, ",,7/30/2020
"HireTeamMate, Inc. dba hireEZ", legal [at] hireez.com,https://www.hireez.com,"2513 E. Charleston Rd., Suite 200, Mountain View, CA 94043, United States","Consumers can request to opt out through the following methods:,  , 1. Use  hireEZ opt-out tool: https://app.hireez.com/optout , 2. Contact hireEZ to request opt out through the following ways: , , Consumer Support Hotline: +1 408-831-1223 ext. 2 , Consumer Support Email: support@hireez.com , Security Report/Complaint: privacy@hireez.com , Mailing Address: , Attn: Legal Department , HireTeamMate, Inc. dba hireEZ , 2513 E. Charleston Rd., Suite 200 , Mountain View, CA 94043","Consumers can request deletion of information through the following methods: , , 1. Use  hireEZ opt-out tool: https://app.hireez.com/optout , 2. Contact hireEZ to request deletion through the following ways: , , Consumer Support Hotline: +1 408-831-1223 ext. 2 , Consumer Support Email: support@hireez.com , Security Report/Complaint: privacy@hireez.com , Mailing Address: , Attn: Legal Department , HireTeamMate, Inc. dba hireEZ , 2513 E. Charleston Rd., Suite 200 , Mountain View, CA 94043","For more information, please see our Privacy Policies here - https://app.hireez.com/policies/generalpolicy",1/31/2020
"Infopay, Inc.",jenna [at] infopay.com,http://accucomcorp.com,"28 Atlantic Ave, Suite 227, Boston, MA 02110, United States","Consumers may email, call, or fill out the automated form on our websites. We also offer live chat assistance. , , infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","Individuals can email, call, live chat, or fill out our automated opt out form on the websites. , , infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","We are mainly a public records site, however we do purchase some private information for resale. We do collect basic information (email address, IP, etc...) when consumers purchase our products but we do not resell this information, it is for internal use only., , infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com",1/30/2020
J.D. Power,laszlo.kupan [at] jdpa.com,http://jdpower.com,"30870 Russell Ranch Rd, Suite 300, Westlake Village, CA 91362, United States",California consumers may opt out of sale or submit requests under the CCPA by submitting a request through the online forms available at jdpower.com/Privacy/California/DSAR or by calling the toll-free number at (866) 467-8688 x327. ,A protected individual can submit a request to jdpowerprivacy@jdpa.com or call (888) 537-6937.,More information about the company’s privacy practices is available at jdpower.com/privacy.  ,2/12/2020
Optimal Fusion,dataprotectionofficer [at] optimalfusion.com,http://www.optimalfusion.com,"7162 Beverly Boulevard, #580, Los Angeles, CA 90036, United States","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.”  Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA .  The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is not sold.","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.”  Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA .  The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is deleted.",Data is collected in compliance with our privacy policy and CCPA.  ,1/30/2020
"RecruitBot, Inc.",accounting [at] therecruitbot.com,http://www.therecruitbot.com,"149 New Montgomery St., #569, SAN FRANCISCO, CA 94105, United States","Consumers may contact us at our toll free number, at 1-888-481-6811. They may also contact us via email at privacy@therecruitbot.com, or fill out a request form at www.therecruitbot.com/opt-out/.","Protected individuals may contact us at our toll free number, at 1-888-481-6811. They may also contact us via email at privacy@therecruitbot.com, or fill out a request form at www.therecruitbot.com/opt-out/.",We collect data from a variety of sources. All purchased data sources are explicitly in compliance with CCPA and GDPR. We have obtained a signed attestation from our third party vendors explicitly affirming their compliance. ,1/23/2020
Throtle,privacy [at] throtle.io,https://www.throtle.io,"141 West Front Street, Suite 410, Red Bank, NJ 07701, United States",By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website. ,By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website. ,Users can visit our privacy policy for details on our data collecting practices. ,1/31/2020
Anchor Computer Inc.,privacyteam [at] anchorcomputer.com ,https://www.anchorcomputer.com/,"1900 New Hwy, Farmingdale, NY 11735, United States","A consumer may opt out of sale or submit requests under the CCPA by (1) going to the anchor computer website https://www.anchorcomputer.com/ and clicking the “Please do not sell my personal information” button to fill out the online form, (2) emailing privacyteam@anchorcomputer.com , or (3) calling our toll-free number 800-646-2563. ","A consumer and/or protected individual can demand deletion of information by (1) going to the anchor computer website https://www.anchorcomputer.com/ and clicking the “Please do not sell my personal information” button to fill out the online form, (2) emailing privacyteam@anchorcomputer.com , or (3) calling our toll-free number 800-646-2563.",Please see our privacy policy https://www.anchorcomputer.com/index.php/privacy-policy/,1/30/2020
Versium,privacy [at] versium.com,http://www.versium.com,"7530 164th Ave NE, A204, Redmond, WA 98052, United States","Consumers may opt out via email to optout@versium.com, webform at https://versium.com/ccpa-opt-out, or by calling 1-800-395-0164.","Consumers may demand deletion of information via email to optout@versium.com, webform at https://versium.com/ccpa-opt-out, or by calling 1-800-395-0164. ","For information on data collecting practices, please see our Privacy Notice for California Residents at https://versium.com/ccpa-privacy-policy.",1/31/2020
US Data Corporation,erich [at] usdatacorporation.com,https://www.usdatacorporation.com,"31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91361, United States","US Data Corporation provides multiple methods by which a consumer may exercise their rights under the CCPA.  1) Consumers can search, view, print, copy, and comment on their individual information by visiting either http://transparency.usdatacorporation.com or http://www.seemyinfo.com   2)  Consumers may also call us toll free at (888) 205-1623    3) Consumers may e-mail their request  to privacy@usdatacorporation.com and   4)  Consumers may bypass a review of their personal data and visit https://usdatacorporation.com/opt-out.    5) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301,  "," 1) Consumers may demand deletion of personal information via form submission at  https://usdatacorporation.com/opt-out   2)  Consumers may also call toll free at (888) 205-1623    3) Consumers may e-mail instructions to privacy@usdatacorporation.com and   4) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301",Additional information about US Data Corporation's data collection practices may be found at:  https://www.usdatacorporation.com/privacy-policy and https://www.usdatacorporation.com/do-not-sell-my-info,1/23/2020
"Sawyer Lists, LLC",admin [at] sawyerdatadirect.com,http://www.sawyerlists.com,"2910 E. 57th Ave, Ste 5-135, Spokane, WA 99223, United States",Go to www.sawyerlists.com or call 800-327-3595,Go to www.sawyerlists.com or call 800-327-3595,,1/23/2020
Acxiom LLC,consumeradvo [at] acxiom.com,http://acxiom.com,"301 East Dave Ward Drive, Conway, AR 72032, United States","California consumers may opt out of the sale of their personal information by submitting an online request to www.acxiom.com/optout.  Consumers may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is:  Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033.  Detailed information and instructions on how a California consumer may exercise their rights under CCPA can be found at:  https://www.acxiom.com/what-we-are-thinking/california-consumer-privacy-act/for-consumers/.","California consumers and/or elected or appointed officials may submit an opt-out request by submitting an online request to www.acxiom.com/optout.  Consumers and/or elected or appointed officials may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is:  Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033.",An in-depth discussion of Acxiom's data collection practices can be found at:  https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/.,1/22/2020
"Seamless Contacts, Inc. d/b/a Seamless.AI",privacy [at] seamlessleads.com ,https://www.seamless.ai/,"7652 Sawmill Road, Suite 341, Dublin, OH 43016, United States",Individuals may opt-out or submit requests under the CCPA by using the request form located at https://login.seamless.ai/personalDataRequest. They may also call 855-953-3265 to request an opt out or submit a request under the CCPA.,Individuals may submit a request to delete by using the request form located at https://login.seamless.ai/personalDataRequest. They may also call 855-953-3265 to submit a request to delete.,You may read more about Seamless.AI’s privacy practices in their Privacy Policy (available at https://www.seamless.ai/privacypolicy/) and California Consumer Privacy Policy (available at https://seamless.ai/policies?tab=policies-ccpapolicy).,1/30/2020
"AcademixDirect, Inc",admin [at] academixdirect.com,https://www.degree.me/,"548 Market St #33674, San Francisco, CA 94104, United States","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  Under ""Your Rights And Choices"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  Under ""Exercising Access, Data Portability and Deletion Rights"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  ",1/23/2020
S&P Global Inc.,privacy [at] spglobal.com,https://www.spglobal.com,"55 Water Street, 45th Floor, New York, NY 10041, United States","A consumer may opt out of the sale of the personal information, under the CCPA using - https://www.spglobal.com/en/privacy/california-consumer-privacy-act, , A consumer may submit requests under the CCPA using - https://www.spglobal.com/en/privacy/personal-information-request-form",A protected individual can demand deletion of information posted online using - https://www.spglobal.com/en/privacy/personal-information-request-form,"All of S&P Global's, and their affiliate companies', data collection practices are outlined, in detail, in our Privacy Policy, which can be found online here - https://www.spglobal.com/en/privacy/privacy-policy-english ",2/12/2020
"First Direct, Inc.",support [at] firstdirectmarketing.com,http://www.firstdirectmarketing.com,"1508 J F Kennedy Dr, Suite 103, Bellevue, NE 68005, United States",Consumers can directly go to https://alerts.com/ and both search and submit requests.,The consumer can go directly to https://alerts.com/ and request deletion of their information.,Consumers can refer to our published privacy policy at : https://www.firstdirectmarketing.com/privacy-policy/,1/30/2020
Hunter Web Services Inc,privacy [at] hunter.io,https://hunter.io/,"2810 N Church St #50754, Wilmington, DE 19802-4447, United States","Consumers can opt-out of the sale of their personal information at https://hunter.io/claim?ref=donotsell, or they may contact us at our toll-free telephone number +1 844 940 0955, or by email at privacy@hunter.io.","These code sections relate to legal protections for government officials and victims of domestic violence, sexual assault, and stalking who would like their personal contact information removed from being posted publicly on the internet. These codes do not apply to Hunter’s website. However, if a consumer believes that they require special protection, please go to https://oag.ca.gov/privacy/special-protection.","Hunter collects business-related data such as names, professional email addresses, social network URLs and job titles exclusively on public web pages thanks to web crawlers. Hunter follows the robots.txt standard used by popular search engines to let webmasters give specific instructions on how they want crawlers to operate on their website. The data collected on public web pages is used by our customers to discover relevant contacts within companies. For more information, please read our Privacy Policy: https://hunter.io/privacy-policy.",3/5/2020
"Integrated Medical Data, LLC.  ",bzink [at] integratedmedicaldata.com,http://www.integratedmedicaldata.com,"261 Hawkin Rd, New Egypt, NJ 08533, United States","The footer on our website includes a link to Alerts.com, a CCPA compliance service, in which the consumer can search what information we have and opt out of the database.  Those opts outs are added to a global suppression file that is then omitted from future list sales.  ","Alerts.com allows the deletion request to be submitted directly on the website, which provides a time/date and IP address stamp.  The individual then receives a notification of their request, referring to the time and date it was received.","IMD is a list broker, we do not compile or aggregate data.  We are contracted to purchased data on behalf of our clients.  ",7/27/2020
"Specialists Marketing Services, Inc.",dataprivacyteam [at] sms-inc.com,http://www.sms-inc.com,"777 Terrace Ave, Suite 401, Hasbrouck Heights, NJ 07604, United States","Consumers can exercise their rights under the CCPA by visiting our website at www.sms-inc.com and filling out a web form, or, they can send an email to dataprivacyteam@sms-inc.com to initiate their request.","Consumers can exercise their rights under the CCPA by visiting our website at www.sms-inc.com and filling out a web form, or, they can send an email to dataprivacyteam@sms-inc.com to initiate their request.",,1/30/2020
TargetSmart Communications LLC,privacy [at] targetsmart.com,https://privacy.targetsmart.com/,"1155 15TH ST NW SUITE 750, WASHINGTON, DC 20006, United States","Direct link to web form:  https://privacy.targetsmart.com/do-not-sell-my-personal-information, CCPA privacy request by phone: 888-678-6880","Direct link to web form:  https://privacy.targetsmart.com/do-not-sell-my-personal-information, CCPA privacy request by phone: 888-678-6880","Information about TargetSmart's practices can be found in these links., , https://privacy.targetsmart.com/, https://privacy.targetsmart.com/privacy-policy, https://privacy.targetsmart.com/cookie-policy, ",1/30/2020
"Comscore, Inc.",privacy [at] comscore.com,https://www.comscore.com,"11950 Democracy Drive, Reston, VA 20024, United States","To opt out of a sale or submit other requests under the CCPA, consumers can visit http://www.comscore.com/About/Privacy/Data-Subject-Rights and submit a request through the applicable online form.  For other questions, consumers can send an email to DSR@comscore.com.  If necessary, Comscore may request additional information to verify a consumer’s identity and complete the request. ","Comscore is not in the business of publicly posting personal information.  Any individual can submit a deletion request at http://www.comscore.com/About/Privacy/Data-Subject-Rights through the applicable online form or by sending an email to DSR@comscore.com.  If necessary, Comscore may request additional information to verify an individual’s identity and complete the request.","Comscore is a recognized global leader in cross-platform measurement of audiences, advertising, and consumer behavior.  For more information about Comscore’s practices, please see Comscore’s corporate privacy policy at https://www.comscore.com/About/Privacy-Policy or the privacy policy for the Comscore program in which the consumer participates.",1/30/2020
"Spokeo, Inc.",legal [at] spokeo.com,http://www.spokeo.com,"199 S. Los Robles Ave #711, Pasadena, CA 91101, United States",California residents may opt out of the sale of their personal information by submitting an online request at https://www.spokeo.com/privacy/control.  California residents may also submit a request by telephone. Our telephone number for CCPA requests is 1-877-864-0183. Additional information and instructions on how a California resident may exercise their rights under CCPA can be found in our Privacy Policy located at https://www.spokeo.com/privacy-policy.,"Consumers and/or elected or appointed officials may submit an opt-out request under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by using our general public opt-out tool located at https://www.spokeo.com/optout.  Consumers and/or elected or appointed officials may also submit an email request to legal@spokeo.com or by direct mail or telephone. Our telephone number is 1-877-864-0183. Our mailing address is:  Spokeo, Inc., Attn: Customer Care, 556 S. Fair Oaks Ave., Suite 101-179, Pasadena, CA 91105.",The categories of personal information that we collect are described at https://www.spokeo.com/privacy/control/all-categories.  Additional information about the categories of personal information that we collect can be found in our Privacy Policy located at https://www.spokeo.com/privacy-policy.,1/30/2020
"Cortera, Inc.",privacy [at] cortera.com,http://www.cortera.com,"901 Yamato Road, Suite 210E, Boca Raton, FL 33431, United States",California residents may opt out of the sale of personal information as contained in the business information we collect by submitting a request by telephone or by email. Our telephone number is 1-866-589-0664. Our email address is privacy@cortera.com.  Additional information and instructions on how a California resident may exercise their rights under CCPA can be found in our Privacy Policy located at https://www.cortera.com/privacy-policy.,"Consumers and/or elected or appointed officials covered under Gov. Code sections 6208.1(b) or 6254.21(c)(1) may opt out of the sale of personal information as contained in the business information we collect by submitting a request by telephone. Our telephone number is 1-866-589-0664.  Consumers and/or elected or appointed officials may also submit an email request to privacy@cortera.com or by direct mail. Our mailing address is: Cortera, Inc., Attn: Customer Service, 901 Yamato Road, Suite 210E, Boca Raton, FL 33431.","Cortera focuses on collecting information about businesses.  On occasion, as a byproduct of collecting information about businesses, Cortera occasionally receives information about consumers' businesses or professions that is not from federal, state, or local government databases or information that is unrelated to consumers' businesses or professions.",1/30/2020
"SourceIT Technologies, Inc",dataprivacy [at] sourceitmarketing.com,https://www.sourceitmarketing.com/,"2206 N Main Street, Suite 183, Wheaton, IL 60187, United States","The consumer can visit our website in the footer there is a link to Do not Sell My Personal Information and goes to https://www.sourceitmarketing.com/privacy, From that page they can request to opt out or view/manage their data. A consumer can also contact us via our toll free number 800-478-8089, or the contact form on our website.",A protected individual can visit https://www.sourceitmarketing.com/privacy to have their profile information deleted. Or give us a call at our toll free number 800-478-8089,For our data collection policies please visit our privacy policy on our website for the most up to date information.,1/31/2020
"Email Marketing Services, Inc",dataprivacy [at] listmatch.com,https://listmatch.com,"264 Eisenhower Lane North, Lombard, IL 60148, United States","A consumer can opt out by visiting our website and clicking in the footer ""Do Not Sell My Personal Information "". Which takes them to the following page https://listmatch.com/privacy/ from there they can manage their data record, delete the record.  A consumer can also call Toll Free: (888) 757-2614 and ask to be out of data sales. ",A protected individual can lookup their record at https://listmatch.com/privacy/ and request deletion of the entire data entry file. They can also call us Toll Free: (888) 757-2614 and ask to be deleted.,They can view are up to date data collecting practices in our privacy policy found on our website.,1/31/2020
SafeGraph Inc.,privacy [at] safegraph.com,http://www.safegraph.com,"1543 Mission St., Ste 300, SAN FRANCISCO, CA 94103-2512, United States",Consumers may opt out of sale or submit requests to SafeGraph by submitting their email and Advertising ID number here: https://www.safegraph.com/do-not-sell-my-info,"SafeGraph does not display or permit the display of such information, or operate a website that involves user generated content.",Additional information about SafeGraph's data collection practices can be found here: https://www.safegraph.com/ccpa-privacy-policy,4/8/2020
